entry_date,exit_date,ticker,entry_price,exit_price,pnl_pct,exit_reason,hold_days,year
2022-05-31,2022-06-09,LIT,71.21939086914062,70.01966094970703,-1.6845551538597014,stop_loss,9,2022
2022-05-31,2022-06-09,TAN,70.68463134765625,74.19400787353516,4.964836710569154,stop_loss,9,2022
2022-05-31,2022-06-10,FCG,25.598360061645508,26.36998748779297,3.0143627337424705,stop_loss,10,2022
2022-05-31,2022-06-10,XOP,141.21556091308594,148.56723022460938,5.205990943199357,stop_loss,10,2022
2022-05-31,2022-06-10,XLE,38.46531295776367,39.13140106201172,1.7316591313826901,stop_loss,10,2022
2022-05-31,2022-06-10,AMLP,30.415008544921875,30.324443817138672,-0.29776328239211614,stop_loss,10,2022
2022-05-31,2022-06-14,USO,85.47000122070312,88.44999694824219,3.4865984380227477,stop_loss,14,2022
2022-06-30,2022-07-06,KWEB,31.13689613342285,30.424053192138672,-2.2893834318925665,stop_loss,6,2022
2022-06-30,2022-07-06,CQQQ,50.01165008544922,48.6538200378418,-2.71502748916993,stop_loss,6,2022
2022-06-30,2022-07-11,MCHI,51.43269729614258,48.8891716003418,-4.945347666982158,stop_loss,11,2022
2022-06-30,2022-07-11,XBI,74.11800384521484,80.5248794555664,8.644155640957951,stop_loss,11,2022
2022-06-30,2022-07-11,GXC,83.68804931640625,79.923828125,-4.49791962192182,stop_loss,11,2022
2022-06-30,2022-07-11,FXI,31.18062973022461,29.580678939819336,-5.131233090056475,stop_loss,11,2022
2022-06-30,2022-07-11,GNOM,48.83347702026367,54.22833251953125,11.047453158064013,stop_loss,11,2022
2022-06-30,2022-07-11,EWH,19.73876953125,19.10748291015625,-3.1982065553494143,stop_loss,11,2022
2022-06-30,2022-07-14,IBB,116.56127166748047,120.36638641357422,3.2644760061890654,stop_loss,14,2022
2022-06-30,2022-08-10,UUP,24.927560806274414,25.070209503173828,0.5722529292296663,stop_loss,41,2022
2022-08-31,2022-09-01,URNM,36.362274169921875,34.42232894897461,-5.335049210293752,stop_loss,1,2022
2022-08-31,2022-09-01,URA,21.35517692565918,20.376169204711914,-4.584404635725326,stop_loss,1,2022
2022-08-31,2022-09-01,XOP,132.98023986816406,127.80803680419922,-3.8894523495314304,stop_loss,1,2022
2022-08-31,2022-09-02,UNG,126.5999984741211,122.83999633789062,-2.9699859253940475,stop_loss,2,2022
2022-08-31,2022-09-06,MSOS,13.039999961853027,12.420000076293945,-4.7546003632884855,stop_loss,6,2022
2022-08-31,2022-09-07,FCG,23.892475128173828,22.853668212890625,-4.3478413588814435,stop_loss,7,2022
2022-08-31,2022-09-13,TUR,20.748193740844727,21.7076473236084,4.62427522485922,stop_loss,13,2022
2022-08-31,2022-09-13,FLBR,14.761699676513672,14.874957084655762,0.7672382626933372,stop_loss,13,2022
2022-08-31,2022-09-13,ARGT,28.524578094482422,30.69378089904785,7.604679716489904,stop_loss,13,2022
2022-08-31,2022-09-13,EWZ,24.312965393066406,24.55194854736328,0.9829453151158019,stop_loss,13,2022
2022-09-30,2022-10-07,SLV,17.5,18.5,5.714285714285716,stop_loss,7,2022
2022-09-30,2022-10-07,SIL,23.32591438293457,24.15794563293457,3.5669823542211043,stop_loss,7,2022
2022-09-30,2022-10-07,SILJ,8.50627613067627,8.88868522644043,4.495611121593779,stop_loss,7,2022
2022-09-30,2022-10-07,GDX,23.06460952758789,23.32279396057129,1.1193965051720545,stop_loss,7,2022
2022-09-30,2022-10-07,GDXJ,28.36267852783203,28.911449432373047,1.9348345538046097,stop_loss,7,2022
2022-09-30,2022-10-26,UUP,26.880041122436523,26.300540924072266,-2.1558754159812454,stop_loss,26,2022
2022-09-30,2022-10-31,FXS,94.48999786376953,94.48999786376953,0.0,rebalance,31,2022
2022-09-30,2022-10-31,GULF,16.334999084472656,16.334999084472656,0.0,rebalance,31,2022
2022-09-30,2022-10-31,FRN,0.03500000014901161,0.03500000014901161,0.0,rebalance,31,2022
2022-09-30,2022-10-31,EWW,40.018821716308594,45.755184173583984,14.33416130524825,rebalance,31,2022
2022-10-31,2022-11-01,MSTR,26.750999450683594,25.719999313354492,-3.854062122911661,stop_loss,1,2022
2022-10-31,2022-11-01,MSOS,11.0600004196167,10.670000076293945,-3.5262235852272283,stop_loss,1,2022
2022-10-31,2022-11-01,MARA,13.109999656677246,12.220000267028809,-6.788706429867364,stop_loss,1,2022
2022-10-31,2022-11-01,MJ,58.171234130859375,56.402156829833984,-3.0411548378804443,stop_loss,1,2022
2022-10-31,2022-11-09,XLE,40.58335494995117,39.920494079589844,-1.6333318701196364,stop_loss,9,2022
2022-10-31,2022-11-09,XOP,140.1682891845703,137.78724670410156,-1.6987026768468638,stop_loss,9,2022
2022-10-31,2022-11-09,FCG,24.885108947753906,24.119409561157227,-3.076938052408207,stop_loss,9,2022
2022-10-31,2022-11-14,PPA,74.53550720214844,75.23200988769531,0.9344575648460918,stop_loss,14,2022
2022-10-31,2022-11-17,TUR,25.084192276000977,27.48282241821289,9.562317637418104,stop_loss,17,2022
2022-10-31,2022-11-17,JETS,17.739999771118164,18.1200008392334,2.142057908782502,stop_loss,17,2022
2022-11-30,2022-12-05,TUR,31.64352798461914,30.628726959228516,-3.206978140629213,stop_loss,5,2022
2022-11-30,2022-12-06,SOCL,30.16497802734375,29.739700317382812,-1.4098392830766637,stop_loss,6,2022
2022-11-30,2022-12-12,KWEB,27.002418518066406,28.63719940185547,6.054201710470064,stop_loss,12,2022
2022-11-30,2022-12-15,COPX,34.17543411254883,33.627723693847656,-1.6026436325502602,stop_loss,15,2022
2022-11-30,2022-12-15,PICK,38.54185104370117,37.18357467651367,-3.5241596612664017,stop_loss,15,2022
2022-11-30,2022-12-16,CQQQ,40.744728088378906,42.79633331298828,5.035265470809525,stop_loss,16,2022
